Date;Date Value;Open;High;Low;Close;Adj Close;Volume
18.10.2017;43026;197.500000;197.889999;194.009995;195.309998;122.493317;43547050
19.10.2017;43027;195.259995;195.690002;191.809998;192.199997;120.542801;40359727
20.10.2017;43028;193.600006;194.139999;192.229996;192.970001;121.025719;29002930
23.10.2017;43031;193.410004;193.639999;190.820007;192.339996;120.630600;26949930
24.10.2017;43032;191.639999;192.919998;190.130005;192.500000;120.730957;28265140
25.10.2017;43033;193.000000;194.369995;192.039993;192.039993;120.442459;32303520
26.10.2017;43034;192.649994;193.500000;190.720001;192.750000;120.887756;25634660
27.10.2017;43035;193.529999;196.179993;192.869995;196.050003;122.957428;46796610
30.10.2017;43038;196.320007;197.699997;195.000000;195.000000;122.298889;31938210
31.10.2017;43039;194.809998;196.360001;193.800003;193.800003;121.546280;25643940
01.11.2017;43040;194.490005;197.050003;193.330002;194.050003;121.703079;40292910
02.11.2017;43041;193.779999;195.119995;192.380005;193.850006;121.577637;33747055
03.11.2017;43042;194.770004;195.750000;193.199997;193.800003;121.546280;30616870
07.11.2017;43046;196.500000;206.699997;195.559998;205.960007;129.172729;135176600
08.11.2017;43047;205.949997;211.770004;204.059998;209.089996;131.135757;88294795
09.11.2017;43048;209.509995;221.500000;209.119995;220.050003;138.009598;116668980
10.11.2017;43049;221.000000;229.399994;216.610001;217.699997;136.535736;143573000
13.11.2017;43052;217.699997;223.990005;215.779999;216.610001;135.852127;50943980
14.11.2017;43053;216.500000;222.199997;215.960007;221.399994;138.856277;45905390
15.11.2017;43054;222.500000;227.750000;221.539993;225.949997;141.709915;72221717
16.11.2017;43055;227.789993;228.580002;219.089996;227.500000;142.682037;85863610
17.11.2017;43056;227.899994;228.000000;224.100006;225.649994;141.521759;37958800
20.11.2017;43059;225.699997;225.970001;223.160004;224.600006;140.863235;18853280
21.11.2017;43060;225.500000;232.990005;224.070007;231.000000;144.877151;77573460
22.11.2017;43061;231.889999;233.949997;228.380005;230.250000;144.406769;45932211
23.11.2017;43062;230.259995;230.990005;225.059998;225.559998;141.465317;41140441
24.11.2017;43063;225.399994;228.000000;222.149994;228.000000;142.995636;44277256
27.11.2017;43066;228.399994;229.039993;225.000000;226.759995;142.217926;24026280
28.11.2017;43067;221.000000;230.000000;221.000000;230.000000;144.249985;40901400
29.11.2017;43068;230.100006;231.500000;226.699997;228.199997;143.121048;34340960
30.11.2017;43069;228.000000;228.919998;222.350006;224.350006;140.706451;46122875
01.12.2017;43070;224.500000;225.759995;220.759995;221.500000;138.919006;39983910
04.12.2017;43073;222.000000;226.000000;219.550003;224.600006;140.863235;45155240
05.12.2017;43074;224.000000;224.550003;222.000000;223.910004;140.430496;27885630
06.12.2017;43075;222.649994;224.899994;221.570007;223.750000;140.330154;23136580
07.12.2017;43076;223.830002;224.789993;219.229996;219.809998;137.859070;38228885
08.12.2017;43077;219.899994;223.000000;219.610001;220.889999;138.536407;28324950
11.12.2017;43080;221.399994;227.690002;221.100006;227.690002;142.801193;34539660
12.12.2017;43081;229.000000;230.500000;226.110001;227.899994;142.932907;39739840
13.12.2017;43082;227.300003;228.330002;220.539993;221.800003;139.107147;61576220
14.12.2017;43083;222.110001;229.899994;221.100006;229.899994;144.187271;55633890
15.12.2017;43084;228.899994;229.789993;225.570007;226.529999;142.073669;42529200
18.12.2017;43087;227.490005;228.899994;225.699997;227.399994;142.619324;24519576
19.12.2017;43088;227.990005;228.500000;223.500000;224.100006;140.549652;34992830
20.12.2017;43089;224.279999;226.679993;222.699997;226.000000;141.741302;34199580
21.12.2017;43090;226.460007;227.389999;222.350006;223.600006;140.236053;34750261
22.12.2017;43091;223.679993;224.639999;221.119995;221.440002;138.881363;21524345
25.12.2017;43094;222.220001;223.899994;221.649994;223.300003;140.047913;11183211
26.12.2017;43095;223.899994;223.979996;221.000000;223.570007;140.217239;12303740
27.12.2017;43096;224.009995;227.199997;223.100006;226.979996;142.355911;30101245
28.12.2017;43097;226.899994;227.169998;223.000000;224.199997;140.612366;24078990
29.12.2017;43098;224.119995;226.199997;223.270004;225.199997;141.239532;18919860
03.01.2018;43103;226.880005;232.699997;226.350006;231.899994;145.441605;34549624
04.01.2018;43104;232.130005;239.500000;231.000000;238.800003;149.769119;53598530
05.01.2018;43105;238.889999;239.949997;236.699997;238.600006;149.643661;31579385
09.01.2018;43109;239.029999;243.759995;239.009995;240.399994;150.772583;53172630
10.01.2018;43110;240.399994;241.250000;237.059998;237.759995;149.116837;39371730
11.01.2018;43111;237.759995;240.880005;235.210007;239.000000;149.894531;43067680
12.01.2018;43112;238.919998;239.000000;236.050003;237.750000;149.110580;30895875
15.01.2018;43115;239.000000;240.970001;238.000000;238.850006;149.800461;25681721
16.01.2018;43116;239.009995;240.000000;236.009995;239.639999;150.295929;25475420
17.01.2018;43117;238.619995;239.820007;236.529999;239.820007;150.408844;30522075
18.01.2018;43118;240.500000;246.690002;240.000000;245.500000;153.971176;64156655
19.01.2018;43119;245.149994;245.979996;240.679993;242.449997;152.058289;38996991
22.01.2018;43122;242.970001;244.889999;241.410004;243.990005;153.024139;25100470
24.01.2018;43124;244.199997;247.529999;242.320007;247.529999;155.244339;31180195
25.01.2018;43125;247.899994;251.649994;247.580002;250.639999;157.194855;54995215
26.01.2018;43126;249.300003;251.229996;245.929993;247.000000;154.911942;35231937
29.01.2018;43129;247.500000;250.789993;246.000000;250.479996;157.094498;49186400
30.01.2018;43130;248.529999;258.959991;247.910004;257.799988;161.685394;65622246
31.01.2018;43131;257.500000;264.790009;255.699997;264.500000;165.887466;63707935
01.02.2018;43132;265.000000;270.299988;260.600006;263.200012;165.072159;73041440
02.02.2018;43133;263.690002;264.829987;256.200012;257.320007;161.384369;64657192
